phi,intensity_dB
180.0,-8.699631981526913
179.50000000000006,-8.739356328474528
179.0,-8.739356328474528
178.5,-8.77908067542214
177.99999999999994,-8.779080675422136
177.5,-8.818805022369748
177.0,-8.818805022369752
176.5,-8.779080675422136
176.0,-8.818805022369748
175.5,-8.818805022369752
175.0,-8.858529369317363
174.5,-8.898253716264971
174.00000000000006,-8.898253716264975
173.5,-8.937978063212583
173.0,-8.977702410160195
172.50000000000006,-8.977702410160198
172.0,-8.977702410160195
171.5,-9.017426757107806
171.00000000000006,-9.05715110405542
170.5,-9.057151104055418
170.0,-9.096875451003026
169.49999999999994,-9.176324144898253
169.0,-9.176324144898256
167.10743801652893,-9.47012078830262
166.1157024793389,-9.586141131595689
165.1239669421488,-9.817546090273376
164.13223140495865,-10.04895104895106
163.5,-10.288605859431373
163.0,-10.328330206378986
162.50000000000006,-10.407778900274211
162.0,-10.487227594169433
161.5,-10.68584932890749
160.99999999999994,-10.884471063645544
160.5,-11.00364410448838
160.0,-11.202265839226436
159.49999999999994,-11.281714533121662
159.0,-11.520060614807331
158.5,-11.639233655650166
158.0,-11.837855390388224
157.5,-11.95702843123106
157.00000000000006,-12.155650165969114
156.5,-12.314547553759557
156.0,-12.4337205946024
155.50000000000006,-12.751515370183288
155.0,-12.87068841102612
154.5,-13.188483186607012
154.00000000000006,-13.26793188050224
153.5,-13.585726656083128
153.0,-13.744624043873577
152.49999999999994,-14.062418819454468
152.0,-14.22131620724491
151.5,-14.578835329773415
150.99999999999994,-14.737732717563862
150.24793388429754,-15.36554354736174
149.5,-15.770565738201755
149.0,-15.929463125992203
148.50000000000006,-16.128084860730258
148.0,-16.56505267715399
147.5,-16.763674411892048
147.00000000000006,-17.24036657526338
146.5,-17.43898831000144
146.0,-17.875956126425166
145.50000000000006,-18.114302208110836
145.0,-18.551270024534567
144.5,-18.82934045316784
143.801652892562,-19.292752701843625
143.30578512396698,-19.869993642720928
142.49999999999994,-20.378589984124694
142.0,-20.65666041275797
141.5,-21.173076923076923
140.82644628099172,-21.948506039415143
140.3305785123967,-22.410362364907833
139.83471074380168,-22.756834075015902
139.5,-23.11956992350988
139.0,-23.477089046038387
138.50000000000006,-24.033229903304942
138.0,-24.351024678885835
137.5,-25.02633857699524
137.00000000000006,-25.30440900562851
136.5,-26.01944725068552
136.0,-26.25779333237119
135.37190082644628,-27.028925619834723
134.87603305785126,-27.60616656071203
134.38016528925618,-28.06802288620472
133.38842975206614,-28.41481246026702
133.0,-28.91932457786116
132.5,-29.07822196565161
132.0,-29.435741088180112
131.50000000000006,-29.63436282291816
131.0,-29.95215759849906
130.5,-30.07133063934189
130.00000000000006,-30.269952374079953
129.5,-30.30967672102756
129.0,-30.38912541492279
128.50000000000006,-30.389125414922777
128.0,-30.349401067975176
127.5,-30.230228027132352
127.00000000000006,-30.111054986289503
126.5,-29.83298455765623
126.0,-29.674087169865786
125.49999999999994,-29.276843700389666
125.0,-29.157670659546827
124.5,-28.64125414922788
124.0,-28.48235676143744
123.5,-28.124837638908932
123.0,-27.96594025111849
122.5,-27.568696781642377
122.0,-27.44952374079954
121.50000000000006,-27.171453312166253
121.0,-27.052280271323426
120.00000000000006,-26.734485495742533
119.5,-26.496139414056856
119.0,-26.297517679318805
118.50000000000006,-26.178344638475963
118.0,-25.979722903737905
117.5,-25.860549862895084
116.99999999999994,-25.74137682205224
116.5,-25.66192812815702
116.0,-25.54275508731418
115.5,-25.463306393418964
115.0,-25.383857699523737
114.5,-25.34413335257612
114.0,-25.34413335257613
113.5,-25.30440900562851
113.00000000000006,-25.30440900562851
112.5,-25.34413335257613
112.0,-25.34413335257612
111.50000000000006,-25.383857699523737
111.0,-25.383857699523737
110.5,-25.46330639341896
110.00000000000006,-25.542755087314188
109.5,-25.661928128157015
109.0,-25.74137682205225
108.49999999999994,-25.900274209842685
108.0,-26.019447250685516
107.5,-26.21806898542359
107.0,-26.37696637321402
106.5,-26.496139414056856
106.0,-26.77420984269014
105.5,-27.05228027132342
105.0,-27.409799393851923
104.50000000000006,-27.608421128589985
104.0,-28.085113291961324
103.5,-28.32345937364698
103.00000000000006,-28.800151537018326
102.5,-29.07822196565161
102.14876033057853,-29.473299427844896
101.65289256198348,-29.81977113795297
101.15702479338842,-30.166242848061035
100.6611570247934,-30.628099173553732
100.5,-30.90554192524174
99.99999999999994,-31.1041636599798
99.5,-31.620580170298737
99.0,-31.97809929282725
98.49999999999994,-32.41506710925097
98.18181818181824,-32.93738080101718
97.68595041322313,-33.63000635727909
97.0,-34.401284456631544
96.5,-35.11632270168855
96.0,-35.5930148650599
95.5,-36.54639919180257
95.0,-36.903918314331065
94.5,-37.42033482465002
94.0,-37.65868090633568
93.5,-37.93675133496897
93.0,-37.93675133496897
92.5,-37.93675133496897
91.73553719008264,-37.67228226319136
90.74380165289256,-37.326764144945976
90.24793388429754,-36.75015893197712
89.75206611570252,-36.173553719008275
89.5,-35.91080964064078
89.0,-35.47384182421706
88.76033057851242,-35.366497139224414
88.26446280991735,-34.905276541640184
88.0,-34.71907923221243
87.27272727272731,-34.32898919262556
87.0,-34.04376533410304
86.5,-33.845143599364974
86.0,-33.60679751767932
85.5,-33.16982970125559
84.7933884297521,-32.715193897012085
84.29752066115702,-32.48474253019709
83.801652892562,-32.25429116338208
83.30578512396693,-32.023839796567074
83.0,-31.779477558089187
82.5,-31.620580170298755
82.0,-31.50140712945591
81.5,-31.302785394717848
80.33057851239676,-30.87190082644629
79.83471074380168,-30.641449459631293
78.84297520661158,-30.411315956770512
78.34710743801656,-30.180864589955508
78.0,-30.071330639341884
77.5,-29.952157598499067
77.0,-29.634362822918167
76.5,-29.475465435127713
76.0,-29.11794631259922
75.5,-28.959048924808773
75.0,-28.641254149227873
74.5,-28.442632414489825
74.0,-28.12483763890894
73.5,-27.886491557223255
72.89256198347113,-27.530514939605855
72.5,-27.370075046904315
72.0,-27.171453312166246
71.5,-26.77420984269014
